prompt,provedor,familia,categoria,eh_categoria,marcas_no_prompt,marcas_na_resposta,n_marcas_declarado,n_fontes,relevancia,tam_resposta,seeds,seed_branded
Panelas elétricas Electrolux,chatgpt,produto e categoria,sem categoria,0,electrolux,electrolux,1,17,91,173,eletrolux,1
Panelas elétricas Electrolux,gemini,produto e categoria,sem categoria,0,electrolux,electrolux,1,0,91,173,eletrolux,1
Panelas elétricas Electrolux,google_ai_mode,produto e categoria,sem categoria,0,electrolux,electrolux,1,8,91,173,eletrolux,1
Quais cuidados tomar ao comprar eletrônicos nessas lojas para evitar golpes e garantir a validade da garantia?,chatgpt,manutencao e limpeza,sem categoria,0,,,1,12,91,173,eletrolux,1
máquina de lavar electrolux essencial care,google_ai_overview,produto e categoria,lavanderia,1,electrolux,electrolux,1,10,91,173,eletrolux,1
electrolux led 17,google_ai_overview,produto e categoria,sem categoria,0,electrolux,electrolux,1,8,91,173,eletrolux,1
electrolux máquina de lavar,google_ai_overview,produto e categoria,lavanderia,1,electrolux,electrolux,1,8,91,173,eletrolux,1
ergorapido lithium electrolux,google_ai_overview,produto e categoria,sem categoria,0,electrolux,electrolux,1,3,91,173,eletrolux,1
aspirador sem fio electrolux,google_ai_overview,produto e categoria,aspirador,1,electrolux,electrolux,1,9,91,173,eletrolux,1
máquina de lavar roupas electrolux 17kg,google_ai_overview,especificacao de produto,lavanderia,1,electrolux,electrolux,1,8,91,173,eletrolux,1
aspirador de pó electrolux powerspeed ultra,google_ai_overview,produto e categoria,aspirador,1,electrolux,electrolux,1,8,91,173,eletrolux,1
panela de arroz electrolux,google_ai_overview,produto e categoria,sem categoria,0,electrolux,electrolux,1,5,91,173,eletrolux,1
assistência técnica electrolux perto de mim,google_ai_overview,assistencia e conserto,sem categoria,0,electrolux,electrolux,1,1,91,173,eletrolux,1
lampada empalux,google_ai_overview,produto e categoria,sem categoria,0,,,1,8,91,173,eletrolux,1
telefone electrolux,google_ai_overview,produto e categoria,sem categoria,0,electrolux,electrolux,1,5,91,173,eletrolux,1
led17,google_ai_overview,produto e categoria,sem categoria,0,,electrolux,1,8,91,173,eletrolux,1
panela elétrica electrolux,google_ai_overview,produto e categoria,sem categoria,1,electrolux,electrolux,1,9,91,173,eletrolux,1
electrolux tel,google_ai_overview,produto e categoria,sem categoria,0,electrolux,electrolux,1,5,91,173,eletrolux,1
Qual é a diferença entre as lâmpadas da Empalux e outras lâmpadas comuns no mercado?,google_ai_mode,comparacao e modelo,sem categoria,0,,,1,5,91,173,eletrolux,1
Qual é a melhor chaleira elétrica Electrolux para uso diário em casa?,chatgpt,comparacao e modelo,sem categoria,0,electrolux,electrolux,1,13,91,173,eletrolux,1
Qual é a melhor chaleira elétrica Electrolux para uso diário em casa?,google_ai_mode,comparacao e modelo,sem categoria,0,electrolux,electrolux,1,9,91,173,eletrolux,1
Qual é a melhor chaleira elétrica Electrolux para uso diário em casa?,gemini,comparacao e modelo,sem categoria,0,electrolux,electrolux,1,0,91,173,eletrolux,1
electrolux 17kg,google_ai_overview,especificacao de produto,sem categoria,0,electrolux,electrolux,1,11,91,173,eletrolux,1
geladeira electrolux lançamento,google_ai_overview,produto e categoria,geladeira,1,electrolux,electrolux,1,13,91,173,eletrolux,1
lavadora electrolux,google_ai_overview,produto e categoria,lavanderia,1,electrolux,electrolux,1,5,91,173,eletrolux,1
"Vale a pena investir em uma lava-louças Electrolux com mais funções (ilhas, sensores, programas) ou optar por um modelo simples e eficiente?",gemini,comparacao e modelo,lava-loucas,1,electrolux,electrolux,1,0,91,173,eletrolux,1
"Vale a pena investir em uma lava-louças Electrolux com mais funções (ilhas, sensores, programas) ou optar por um modelo simples e eficiente?",chatgpt,comparacao e modelo,lava-loucas,1,electrolux,,1,12,91,173,eletrolux,1
"Vale a pena investir em uma lava-louças Electrolux com mais funções (ilhas, sensores, programas) ou optar por um modelo simples e eficiente?",google_ai_mode,comparacao e modelo,lava-loucas,1,electrolux,electrolux,1,0,91,173,eletrolux,1
autorizada da electrolux em guarulhos,google_ai_overview,assistencia e conserto,sem categoria,0,electrolux,electrolux|consul,1,2,91,173,eletrolux,1
maquina de lavar e secar roupa electrolux,google_ai_overview,produto e categoria,lavanderia,1,electrolux,electrolux,1,9,91,173,eletrolux,1
Lâmpadas para Geladeira Electrolux,chatgpt,produto e categoria,geladeira,1,electrolux,electrolux,1,12,91,173,eletrolux,1
Lâmpadas para Geladeira Electrolux,gemini,produto e categoria,geladeira,1,electrolux,electrolux,1,0,91,173,eletrolux,1
panela de pressão elétrica electrolux 6 l,google_ai_overview,produto e categoria,sem categoria,0,electrolux,electrolux,1,8,91,173,eletrolux,1
"Quais fatores considerar ao comprar eletrodomésticos pela internet no Brasil (preço, garantia, suporte)?",chatgpt,garantia e suporte,sem categoria,1,,,1,12,91,173,eletrolux,1
ar inverter 12000 electrolux,google_ai_overview,especificacao de produto,sem categoria,0,electrolux,electrolux,1,7,91,173,eletrolux,1
ar condicionado electrolux é ruim,google_ai_overview,produto e categoria,ar condicionado,1,electrolux,electrolux,1,8,91,173,eletrolux,1
electrolux. essential care 15kg,google_ai_overview,especificacao de produto,sem categoria,0,electrolux,electrolux,1,7,91,173,eletrolux,1
preço de máquina de lavar electrolux,google_ai_overview,preco e compra,lavanderia,1,electrolux,electrolux,1,6,91,173,eletrolux,1
qual o valor da geladeira electrolux,google_ai_overview,comparacao e modelo,geladeira,1,electrolux,electrolux,1,8,91,173,eletrolux,1
color adapt,google_ai_overview,produto e categoria,sem categoria,0,,electrolux,1,8,91,173,eletrolux,1
aspirador electrolux stk14 ou stk15,google_ai_overview,produto e categoria,aspirador,1,electrolux,electrolux,1,8,91,173,eletrolux,1
panela de pressão eletrica electrolux 5 litros,google_ai_overview,especificacao de produto,sem categoria,0,electrolux,electrolux,1,9,91,173,eletrolux,1
refil do purificador de água electrolux,google_ai_overview,produto e categoria,purificador,1,electrolux,electrolux,1,5,91,173,eletrolux,1
electrolux adapt color,google_ai_overview,produto e categoria,sem categoria,0,electrolux,electrolux,1,5,91,173,eletrolux,1
assistencia tecnica da electrolux salvador,google_ai_overview,assistencia e conserto,sem categoria,0,electrolux,electrolux,1,5,91,173,eletrolux,1
forno eletrico electrolux,google_ai_overview,produto e categoria,coccao,1,electrolux,electrolux,1,11,91,173,eletrolux,1
panela de pressão eletrica 5 litros electrolux,google_ai_overview,especificacao de produto,sem categoria,0,electrolux,electrolux,1,13,91,173,eletrolux,1
Quais são os modelos Electrolux com maior capacidade de refrigeração e melhor custo-benefício?,gemini,especificacao de produto,sem categoria,0,electrolux,electrolux,1,0,91,173,eletrolux,1
Quais são os modelos Electrolux com maior capacidade de refrigeração e melhor custo-benefício?,google_ai_mode,especificacao de produto,sem categoria,0,electrolux,electrolux,1,7,91,173,eletrolux,1
Quais são os modelos Electrolux com maior capacidade de refrigeração e melhor custo-benefício?,chatgpt,especificacao de produto,sem categoria,0,electrolux,electrolux,1,12,91,173,eletrolux,1
forno electrolux elétrico,google_ai_overview,produto e categoria,coccao,1,electrolux,electrolux,1,5,91,173,eletrolux,1
maquina de lavar electrolux 17 kilos,google_ai_overview,produto e categoria,lavanderia,1,electrolux,electrolux,1,6,91,173,eletrolux,1
máquina electrolux 14kg essential care,google_ai_overview,especificacao de produto,sem categoria,0,electrolux,electrolux,1,8,91,173,eletrolux,1
aspirador de pó vertical electrolux ergorapido 2 em 1,google_ai_overview,produto e categoria,aspirador,1,electrolux,electrolux,1,9,91,173,eletrolux,1
Electrolux inverter vale a pena em relação aos modelos convencionais no consumo mensal?,chatgpt,especificacao de produto,sem categoria,0,electrolux,,1,12,91,173,eletrolux,1
Electrolux inverter vale a pena em relação aos modelos convencionais no consumo mensal?,google_ai_mode,especificacao de produto,sem categoria,0,electrolux,electrolux,1,14,91,173,eletrolux,1
Electrolux inverter vale a pena em relação aos modelos convencionais no consumo mensal?,gemini,especificacao de produto,sem categoria,0,electrolux,electrolux,1,0,91,173,eletrolux,1
Você poderia me explicar qual é a diferença entre os liquidificadores Electrolux com copo de vidro e os modelos com copo comum?,chatgpt,comparacao e modelo,liquidificador,1,electrolux,electrolux,1,13,91,173,eletrolux,1
Você poderia me explicar qual é a diferença entre os liquidificadores Electrolux com copo de vidro e os modelos com copo comum?,google_ai_mode,comparacao e modelo,liquidificador,1,electrolux,electrolux,1,0,91,173,eletrolux,1
Você poderia me explicar qual é a diferença entre os liquidificadores Electrolux com copo de vidro e os modelos com copo comum?,gemini,comparacao e modelo,liquidificador,1,electrolux,electrolux,1,0,91,173,eletrolux,1
autorizada da electrolux em santos,google_ai_overview,assistencia e conserto,sem categoria,0,electrolux,,1,4,91,173,eletrolux,1
geladeira da electrolux,google_ai_overview,produto e categoria,geladeira,1,electrolux,electrolux,1,8,91,173,eletrolux,1
filtro purificador electrolux pe12g,google_ai_overview,peca e filtro,purificador,1,electrolux,electrolux,1,9,91,173,eletrolux,1
electrolux tv,google_ai_overview,produto e categoria,sem categoria,0,electrolux,,1,4,91,173,eletrolux,1
electrolux inverter,google_ai_overview,especificacao de produto,sem categoria,0,electrolux,electrolux,1,9,91,173,eletrolux,1
electrolux premium care sfp12,google_ai_overview,produto e categoria,sem categoria,0,electrolux,electrolux,1,9,91,173,eletrolux,1
secadora de roupas electrolux 12kg,google_ai_overview,especificacao de produto,lavanderia,1,electrolux,electrolux,1,6,91,173,eletrolux,1
ar condicionado split 12000 btus electrolux inverter,google_ai_overview,especificacao de produto,ar condicionado,1,electrolux,electrolux,1,6,91,173,eletrolux,1
máquina de lavar electrolux 17 kg,google_ai_overview,especificacao de produto,lavanderia,1,electrolux,electrolux,1,8,91,173,eletrolux,1
electrolux garantia de fábrica,google_ai_overview,garantia e suporte,sem categoria,0,electrolux,electrolux,1,6,91,173,eletrolux,1
panela electrolux rita lobo,google_ai_overview,produto e categoria,sem categoria,0,electrolux,electrolux,1,9,91,173,eletrolux,1
eletrolux panela eletrica,google_ai_overview,produto e categoria,sem categoria,1,electrolux,electrolux,1,11,91,173,eletrolux,1
maquina lava e seca 12kg electrolux,google_ai_overview,especificacao de produto,lavanderia,1,electrolux,electrolux,1,10,91,173,eletrolux,1
ar condicionado eletrolux 9000,google_ai_overview,produto e categoria,ar condicionado,1,electrolux,electrolux,1,12,91,173,eletrolux,1
aspirador de pó electrolux 2 em 1,google_ai_overview,produto e categoria,aspirador,1,electrolux,electrolux,1,8,91,173,eletrolux,1
lavadora de roupa electrolux 17kg,google_ai_overview,especificacao de produto,lavanderia,1,electrolux,electrolux,1,10,91,173,eletrolux,1
purificador de água da electrolux,google_ai_overview,produto e categoria,purificador,1,electrolux,electrolux,1,7,91,173,eletrolux,1
electrolux essential care 17kg,google_ai_overview,especificacao de produto,sem categoria,0,electrolux,electrolux,1,10,91,173,eletrolux,1
ar condicionado electrolux 12000 btus inverter,google_ai_overview,especificacao de produto,ar condicionado,1,electrolux,electrolux,1,6,91,173,eletrolux,1
filtro electrolux acqua pure,google_ai_overview,peca e filtro,sem categoria,0,electrolux,electrolux,1,7,91,173,eletrolux,1
eletrolux maquina,google_ai_overview,produto e categoria,sem categoria,0,electrolux,electrolux,1,9,91,173,eletrolux,1
máquina de lavar electrolux 17kg,google_ai_overview,especificacao de produto,lavanderia,1,electrolux,electrolux,1,9,91,173,eletrolux,1
lava roupas 15kg electrolux,google_ai_overview,especificacao de produto,lavanderia,0,electrolux,electrolux,1,5,91,173,eletrolux,1
fabrica electrolux telefone,google_ai_overview,produto e categoria,sem categoria,0,electrolux,electrolux,1,3,91,173,eletrolux,1
ar condicionado electrolux 9000 quente e frio,google_ai_overview,produto e categoria,ar condicionado,1,electrolux,electrolux,1,8,91,173,eletrolux,1
lava roupa electrolux,google_ai_overview,produto e categoria,lavanderia,0,electrolux,electrolux,1,6,91,173,eletrolux,1
aspirador vertical electrolux,google_ai_overview,produto e categoria,aspirador,1,electrolux,electrolux,1,16,91,173,eletrolux,1
aspirador electrolux power speed,google_ai_overview,produto e categoria,aspirador,1,electrolux,electrolux,1,10,91,173,eletrolux,1
maquina de lavar frontal electrolux 11kg,google_ai_overview,especificacao de produto,lavanderia,1,electrolux,electrolux,1,8,91,173,eletrolux,1
chaleira eletrica electrolux,google_ai_overview,produto e categoria,sem categoria,0,electrolux,electrolux,1,10,91,173,eletrolux,1
secadora de roupas electrolux essential care,google_ai_overview,produto e categoria,lavanderia,1,electrolux,electrolux,1,6,91,173,eletrolux,1
"Quais são as diferenças entre os modelos de forno elétrico Electrolux (embutir, bancada e torre) e qual é o mais indicado para minha cozinha?",google_ai_mode,comparacao e modelo,coccao,1,electrolux,electrolux,1,22,91,173,eletrolux,1
"Quais são as diferenças entre os modelos de forno elétrico Electrolux (embutir, bancada e torre) e qual é o mais indicado para minha cozinha?",gemini,comparacao e modelo,coccao,1,electrolux,electrolux,1,0,91,173,eletrolux,1
"Quais são as diferenças entre os modelos de forno elétrico Electrolux (embutir, bancada e torre) e qual é o mais indicado para minha cozinha?",chatgpt,comparacao e modelo,coccao,1,electrolux,electrolux,1,12,91,173,eletrolux,1
ar condicionado eletrolux inverter,google_ai_overview,especificacao de produto,ar condicionado,1,electrolux,electrolux,1,8,91,173,eletrolux,1
máquina de lavar roupa electrolux 11 kg,google_ai_overview,especificacao de produto,lavanderia,1,electrolux,electrolux,1,11,91,173,eletrolux,1
essential care,google_ai_overview,produto e categoria,sem categoria,0,,electrolux,1,6,91,173,eletrolux,1
maquina electrolux 17kg,google_ai_overview,especificacao de produto,sem categoria,0,electrolux,electrolux,1,6,91,173,eletrolux,1
assistência técnica eletrolux,google_ai_overview,assistencia e conserto,sem categoria,0,electrolux,electrolux,1,4,91,173,eletrolux,1
panela de pressao eletrica pcc20,google_ai_overview,produto e categoria,sem categoria,0,,electrolux,1,9,91,173,eletrolux,1
liquidificador electrolux 700w,google_ai_overview,produto e categoria,liquidificador,1,electrolux,electrolux,1,4,91,173,eletrolux,1
refrigerador electrolux,google_ai_overview,produto e categoria,geladeira,1,electrolux,electrolux,1,14,91,173,eletrolux,1
aspirador de pó electrolux powerspeed,google_ai_overview,produto e categoria,aspirador,1,electrolux,electrolux,1,7,91,173,eletrolux,1
eletrolux led13,google_ai_overview,produto e categoria,sem categoria,0,electrolux,electrolux,1,6,91,173,eletrolux,1
maquinas de lavar electrolux 11kg,google_ai_overview,especificacao de produto,sem categoria,0,electrolux,electrolux,1,9,91,173,eletrolux,1
maquina de lavar eletro,google_ai_overview,produto e categoria,lavanderia,1,,electrolux,1,9,91,173,eletrolux,1
refil para purificador de água electrolux,google_ai_overview,produto e categoria,purificador,1,electrolux,electrolux,1,7,91,173,eletrolux,1
aspirador electrolux com fio,google_ai_overview,produto e categoria,aspirador,1,electrolux,electrolux,1,9,91,173,eletrolux,1
panela de pressão rita lobo,google_ai_overview,produto e categoria,sem categoria,0,,electrolux,1,8,91,173,eletrolux,1
electrolux inverter techno,google_ai_overview,especificacao de produto,sem categoria,0,electrolux,electrolux,1,7,91,173,eletrolux,1
parte de trás da geladeira electrolux,google_ai_overview,produto e categoria,geladeira,1,electrolux,electrolux,1,6,91,173,eletrolux,1
máquina de lavar roupas electrolux 15kg,google_ai_overview,especificacao de produto,lavanderia,1,electrolux,electrolux,1,7,91,173,eletrolux,1
central de ar electrolux 9000 btus,google_ai_overview,especificacao de produto,ar condicionado,0,electrolux,electrolux,1,7,91,173,eletrolux,1
filtros de agua electrolux,google_ai_overview,peca e filtro,sem categoria,0,electrolux,electrolux,1,11,91,173,eletrolux,1
Quais são os melhores liquidificadores Electrolux de 1200W para uso diário e para fazer smoothies?,gemini,comparacao e modelo,liquidificador,1,electrolux,electrolux,1,0,91,173,eletrolux,1
Quais são os melhores liquidificadores Electrolux de 1200W para uso diário e para fazer smoothies?,google_ai_mode,comparacao e modelo,liquidificador,1,electrolux,electrolux,1,0,91,173,eletrolux,1
aspirador de pó vertical electrolux powerspeed ultra stk15,google_ai_overview,produto e categoria,aspirador,1,electrolux,electrolux,1,6,91,173,eletrolux,1
filtro de agua eletrolux,google_ai_overview,peca e filtro,sem categoria,0,electrolux,electrolux,1,10,91,173,eletrolux,1
Quais as diferenças entre espremedor de laranja e espremedor de frutas Electrolux?,google_ai_mode,produto e categoria,sem categoria,0,electrolux,electrolux,1,4,91,173,eletrolux,1
Quais as diferenças entre espremedor de laranja e espremedor de frutas Electrolux?,chatgpt,produto e categoria,sem categoria,0,electrolux,electrolux,1,12,91,173,eletrolux,1
Quais as diferenças entre espremedor de laranja e espremedor de frutas Electrolux?,gemini,produto e categoria,sem categoria,0,electrolux,electrolux,1,0,91,173,eletrolux,1
purificador de água electrolux pe12,google_ai_overview,produto e categoria,purificador,1,electrolux,electrolux,1,8,91,173,eletrolux,1
máquina de lavar frontal electrolux 11kg,google_ai_overview,especificacao de produto,lavanderia,1,electrolux,electrolux,1,8,91,173,eletrolux,1
telefone da electrolux curitiba,google_ai_overview,produto e categoria,sem categoria,0,electrolux,electrolux,1,2,91,173,eletrolux,1
empresa electrolux,google_ai_overview,produto e categoria,sem categoria,0,electrolux,electrolux,1,8,91,173,eletrolux,1
telefone garantia electrolux,google_ai_overview,garantia e suporte,sem categoria,0,electrolux,electrolux,1,5,91,173,eletrolux,1
ar electrolux 9000 inverter,google_ai_overview,especificacao de produto,sem categoria,0,electrolux,electrolux,1,8,91,173,eletrolux,1
Quais marcas de geladeira/choppeira são mais confiáveis no Brasil e onde comprar?,gemini,preco e compra,geladeira,1,,,26,0,93,173,geladeira,0
Quais marcas de geladeira/choppeira são mais confiáveis no Brasil e onde comprar?,google_ai_mode,preco e compra,geladeira,1,,,18,8,93,173,geladeira,0
Quais são os melhores fabricantes de geladeiras comerciais para supermercados?,chatgpt,comparacao e modelo,geladeira,1,,,17,1,93,173,geladeira,0
Quais marcas de geladeira/choppeira são mais confiáveis no Brasil e onde comprar?,chatgpt,preco e compra,geladeira,1,,,14,22,93,173,geladeira,0
Geladeiras de Luxo,google_ai_mode,produto e categoria,geladeira,1,,,13,0,93,173,geladeira,0
Quais marcas oferecem as melhores opções de geladeira para área gourmet no Brasil?,gemini,comparacao e modelo,geladeira,1,,,12,0,93,173,geladeira,0
Geladeiras para Chopp,gemini,produto e categoria,geladeira,1,,,12,0,93,173,geladeira,0
Como escolher uma geladeira de luxo que combine com meu estilo de decoração e orçamento?,gemini,comparacao e modelo,geladeira,1,,,10,0,93,173,geladeira,0
Quais marcas de geladeiras de luxo vocês recomendam para uma cozinha moderna?,gemini,produto e categoria,geladeira,1,,,10,0,93,173,geladeira,0
Quais são as melhores geladeiras com boa eficiência energética e custo-benefício?,chatgpt,preco e compra,geladeira,1,,,10,12,93,173,geladeira,0
Quais são as melhores lojas brasileiras para comprar peças de geladeira e quais garantias oferecem?,gemini,peca e filtro,geladeira,1,,,9,0,93,173,geladeira,0
Quais são as melhores lojas brasileiras para comprar peças de geladeira e quais garantias oferecem?,google_ai_mode,peca e filtro,geladeira,1,,,9,0,93,173,geladeira,0
Refrigeração e Eletrodomésticos,chatgpt,produto e categoria,sem categoria,1,,,9,14,93,173,geladeira,0
Geladeiras e Eletrodomésticos Brasil,google_ai_mode,produto e categoria,geladeira,1,,,9,19,93,173,geladeira,0
Quais são os melhores fabricantes de geladeiras comerciais para supermercados?,google_ai_mode,comparacao e modelo,geladeira,1,,,8,3,93,173,geladeira,0
geladeira do freezer embaixo,google_ai_overview,produto e categoria,geladeira,1,,,8,13,93,173,geladeira,0
Geladeiras para área gourmet,gemini,produto e categoria,geladeira,1,,,8,0,93,173,geladeira,0
Quais são as melhores lojas brasileiras para comprar peças de geladeira e quais garantias oferecem?,chatgpt,peca e filtro,geladeira,1,,,8,12,93,173,geladeira,0
Quais são as marcas mais confiáveis de geladeiras/freezers no Brasil e por que,google_ai_mode,produto e categoria,geladeira,1,,,8,13,93,173,geladeira,0
Quais são as marcas mais confiáveis de geladeiras/freezers no Brasil e por que,chatgpt,produto e categoria,geladeira,1,,,8,12,93,173,geladeira,0
"Quais geladeiras com boa avaliação aparecem nas lojas online brasileiras como Magazine Luiza, Mercado Livre e Ponto (Pontofrio)?",gemini,comparacao e modelo,geladeira,1,,,8,0,93,173,geladeira,0
"Quais geladeiras com boa avaliação aparecem nas lojas online brasileiras como Magazine Luiza, Mercado Livre e Ponto (Pontofrio)?",google_ai_mode,comparacao e modelo,geladeira,1,,,8,11,93,173,geladeira,0
Como funcionar o suporte e reclamações de geladeiras via Reclame Aqui e quais são os passos para resolver?,gemini,garantia e suporte,geladeira,1,,brastemp|consul,7,0,93,173,geladeira,0
Quais são os modelos de geladeira ideais para área gourmet com churrasqueira e freezer amplo?,google_ai_mode,comparacao e modelo,geladeira,1,,,7,11,93,173,geladeira,0
Geladeiras de Luxo,gemini,produto e categoria,geladeira,1,,,7,0,93,173,geladeira,0
Quais são as marcas mais confiáveis de geladeiras/freezers no Brasil e por que,gemini,produto e categoria,geladeira,1,,brastemp,7,0,93,173,geladeira,0
Geladeiras com freezer embaixo,chatgpt,produto e categoria,geladeira,1,,,7,11,93,173,geladeira,0
Quais marcas confiáveis de geladeira com freezer embaixo existem no Brasil?,chatgpt,produto e categoria,geladeira,1,,,6,20,93,173,geladeira,0
Quais marcas confiáveis de geladeira com freezer embaixo existem no Brasil?,gemini,produto e categoria,geladeira,1,,,6,0,93,173,geladeira,0
Como funcionar o suporte e reclamações de geladeiras via Reclame Aqui e quais são os passos para resolver?,google_ai_mode,garantia e suporte,geladeira,1,,brastemp|consul|samsung,6,9,93,173,geladeira,0
Quais são os melhores fabricantes de geladeiras comerciais para supermercados?,gemini,comparacao e modelo,geladeira,1,,,6,0,93,173,geladeira,0
Geladeiras de Luxo,chatgpt,produto e categoria,geladeira,1,,,6,14,93,173,geladeira,0
Quais marcas oferecem as melhores opções de geladeira para área gourmet no Brasil?,google_ai_mode,comparacao e modelo,geladeira,1,,,6,16,93,173,geladeira,0
Geladeiras para Chopp,google_ai_mode,produto e categoria,geladeira,1,,,6,12,93,173,geladeira,0
Quais marcas de geladeiras de luxo vocês recomendam para uma cozinha moderna?,chatgpt,produto e categoria,geladeira,1,,,6,13,93,173,geladeira,0
Quais são as melhores opções de refrigeradores disponíveis no Brasil e como escolher entre elas?,chatgpt,comparacao e modelo,geladeira,1,,,6,12,93,173,geladeira,0
Quais são as melhores opções de refrigeradores disponíveis no Brasil e como escolher entre elas?,google_ai_mode,comparacao e modelo,geladeira,1,,,6,13,93,173,geladeira,0
Geladeiras e Eletrodomésticos Brasil,gemini,produto e categoria,geladeira,1,,,6,0,93,173,geladeira,0
"Quais recursos inovadores (controle de temperatura, eficiência energética, conectividade) são encontrados nas geladeiras de luxo atuais?",gemini,produto e categoria,geladeira,1,,,5,0,93,173,geladeira,0
Como escolher peças compatíveis com meu modelo de geladeira ao comprar pela internet?,gemini,peca e filtro,geladeira,1,,,5,0,93,173,geladeira,0
Como escolher uma geladeira de luxo que combine com meu estilo de decoração e orçamento?,google_ai_mode,comparacao e modelo,geladeira,1,,,5,0,93,173,geladeira,0
"Quais fatores comparar ao comprar uma geladeira no Brasil (capacidade, consumo, frost-free, dimensões)?",gemini,especificacao de produto,geladeira,1,,,5,0,93,173,geladeira,0
Quais marcas confiáveis de geladeira com freezer embaixo existem no Brasil?,google_ai_mode,produto e categoria,geladeira,1,,electrolux|brastemp,5,9,93,173,geladeira,0
Quais são os modelos de geladeira ideais para área gourmet com churrasqueira e freezer amplo?,chatgpt,comparacao e modelo,geladeira,1,,,5,12,93,173,geladeira,0
Quais marcas oferecem as melhores opções de geladeira para área gourmet no Brasil?,chatgpt,comparacao e modelo,geladeira,1,,,5,12,93,173,geladeira,0
Quais marcas de geladeiras de luxo vocês recomendam para uma cozinha moderna?,google_ai_mode,produto e categoria,geladeira,1,,,5,0,93,173,geladeira,0
Geladeiras e Freezers,google_ai_mode,produto e categoria,geladeira,1,,,5,23,93,173,geladeira,0
Geladeiras para área gourmet,google_ai_mode,produto e categoria,geladeira,1,,,5,11,93,173,geladeira,0
Quais são as melhores geladeiras com boa eficiência energética e custo-benefício?,google_ai_mode,preco e compra,geladeira,1,,,5,11,93,173,geladeira,0
Quais são as principais diferenças entre geladeiras de luxo e modelos convencionais?,gemini,comparacao e modelo,geladeira,1,,,5,0,93,173,geladeira,0
Qual é a melhor geladeira com freezer embaixo para uma família de 4 pessoas?,chatgpt,comparacao e modelo,geladeira,1,,,5,14,93,173,geladeira,0
"Quais geladeiras com boa avaliação aparecem nas lojas online brasileiras como Magazine Luiza, Mercado Livre e Ponto (Pontofrio)?",chatgpt,comparacao e modelo,geladeira,1,,,5,12,93,173,geladeira,0
Como escolher peças compatíveis com meu modelo de geladeira ao comprar pela internet?,chatgpt,peca e filtro,geladeira,1,,,4,21,93,173,geladeira,0
Quais são as melhores opções de geladeira para famílias de 4 a 5 pessoas dentro de faixas de preço comuns no varejo online?,gemini,preco e compra,geladeira,1,,,4,0,93,173,geladeira,0
Quais são as melhores opções de geladeira para famílias de 4 a 5 pessoas dentro de faixas de preço comuns no varejo online?,google_ai_mode,preco e compra,geladeira,1,,,4,14,93,173,geladeira,0
melhores geladeiras inverse,google_ai_overview,comparacao e modelo,geladeira,1,,,4,10,93,173,geladeira,0
refrigerador com freezer embaixo,google_ai_overview,produto e categoria,geladeira,1,,,4,7,93,173,geladeira,0
Quais são os modelos de geladeira ideais para área gourmet com churrasqueira e freezer amplo?,gemini,comparacao e modelo,geladeira,1,,,4,0,93,173,geladeira,0
Geladeiras e Freezers,chatgpt,produto e categoria,geladeira,1,,,4,12,93,173,geladeira,0
Quais são as melhores geladeiras com boa eficiência energética e custo-benefício?,gemini,preco e compra,geladeira,1,,,4,0,93,173,geladeira,0
Quais são as melhores opções de refrigeradores disponíveis no Brasil e como escolher entre elas?,gemini,comparacao e modelo,geladeira,1,,,4,0,93,173,geladeira,0
Qual é a melhor geladeira com freezer embaixo para uma família de 4 pessoas?,gemini,comparacao e modelo,geladeira,1,,,4,0,93,173,geladeira,0
Qual é a melhor geladeira para usar como kegerator em casa?,chatgpt,comparacao e modelo,geladeira,1,,,4,14,93,173,geladeira,0
geladeira frost free com congelador embaixo,google_ai_overview,especificacao de produto,geladeira,1,,,3,14,93,173,geladeira,0
"Quais recursos inovadores (controle de temperatura, eficiência energética, conectividade) são encontrados nas geladeiras de luxo atuais?",google_ai_mode,produto e categoria,geladeira,1,,,3,0,93,173,geladeira,0
Quais potes e organizadores ajudam mais a economizar espaço na geladeira pequena?,chatgpt,produto e categoria,geladeira,1,,,3,12,93,173,geladeira,0
geladeiras inverter inox,google_ai_overview,especificacao de produto,geladeira,1,,electrolux|brastemp|midea,3,5,93,173,geladeira,0
Quais são as melhores opções de geladeira para famílias de 4 a 5 pessoas dentro de faixas de preço comuns no varejo online?,chatgpt,preco e compra,geladeira,1,,,3,14,93,173,geladeira,0
Como escolher uma geladeira de luxo que combine com meu estilo de decoração e orçamento?,chatgpt,comparacao e modelo,geladeira,1,,,3,12,93,173,geladeira,0
Como comparar preços e consumo entre geladeiras com freezer embaixo e modelos tradicionais?,chatgpt,consumo e energia,geladeira,1,,,3,12,93,173,geladeira,0
geladeira em cima freezer embaixo,google_ai_overview,produto e categoria,geladeira,1,,electrolux|brastemp,3,10,93,173,geladeira,0
geladeira inox inverse promoção,google_ai_overview,especificacao de produto,geladeira,1,,midea,3,10,93,173,geladeira,0
refrigerador inverse,google_ai_overview,produto e categoria,geladeira,1,,,3,12,93,173,geladeira,0
geladeira freezer invertido inox,google_ai_overview,especificacao de produto,geladeira,1,,,3,9,93,173,geladeira,0
geladeira congelador em baixo,google_ai_overview,produto e categoria,geladeira,1,,consul|midea,3,9,93,173,geladeira,0
geladeira frost free congelador embaixo,google_ai_overview,especificacao de produto,geladeira,1,,,3,8,93,173,geladeira,0
